主族群,類型,日期,標題,來源,連結,重點摘要,相關公司
記憶體,新聞,2026-06-23,Here's Why Micron Shares Fell 13% Tuesday,Forbes,https://www.forbes.com/sites/antoniopequenoiv/2026/06/23/micron-tumbles-13-as-south-korean-etf-warning-fuels-chip-sell-off/,美光單日暴跌13%，導火線是韓國金融監督院對記憶體槓桿ETF的警告，引發全球晶片股拋售,美股 MU
記憶體,新聞,2026-06-22,"FSS Governor Lee Chan-jin ""regret not lying down to block it""",京鄉新聞(경향신문),https://www.khan.co.kr/en/article/202606221837027,韓國金監院長公開後悔核准三星電子/SK海力士單一個股槓桿ETF，規模已超過14兆韓元、92%是散戶持有,韓股 005930/000660
記憶體,新聞,2026-06-05,記憶體爆跌原因找到了？分析師語出驚人 DRAM、NAND價格觸頂時間將大幅提前,工商時報,https://www.ctee.com.tw/news/20260605700690-430702,Raymond James分析師警告記憶體循環高峰可能提前到2026年中，比市場原本預期早,
記憶體,新聞,2026-06-04,記憶體派對快結束？分析師示警DRAM、NAND價格即將觸頂回落 美光暴跌逾7%,鉅亨網,https://news.cnyes.com/news/id/6484591,跟工商時報同一份分析師報告的不同報導角度,美股 MU
記憶體,目標價,2026-06下旬,摩根大通(JPM)調升美光目標價至$1540(原$550),Yahoo Finance,https://finance.yahoo.com/markets/stocks/articles/goldman-sachs-resets-micron-stock-160642975.html,Q3財報後大幅上調，反映HBM/AI記憶體需求強勁,美股 MU
記憶體,目標價,2026-06下旬,高盛(Goldman Sachs)調升美光目標價至$1100(原$900),Yahoo Finance,https://finance.yahoo.com/markets/stocks/articles/goldman-sachs-resets-micron-stock-160642975.html,同上財報後調升,美股 MU
記憶體,目標價,2026-06-30,Bernstein調升SanDisk目標價至$3000(原$1700),TipRanks,https://www.tipranks.com/news/sandisk-stock-sndk-gets-a-boost-as-top-bernstein-analyst-lifts-price-target-sharply,新長約(LTA)鎖定客戶與供應商下檔保護，基於2028財年EPS 11倍估值,美股 SNDK
記憶體,目標價,2026-06初,"Bernstein調升SK海力士目標價至KRW330萬元(原KRW115萬元)",BigGo Finance,https://finance.biggo.com/news/hFJRfZ4BaoGGrU-IfC86,HBM價格大幅上漲推動獲利上修,韓股 000660
記憶體,目標價,2026-06-25,法人(未具名)調升南亞科目標價至600元,今周刊,https://www.businesstoday.com.tw/article/category/183015/post/202606250001/,現價443.5元，上漲空間約35%,台股 2408
記憶體,目標價,2026-06-25,法人(未具名)調升華邦電目標價至258元,今周刊,https://www.businesstoday.com.tw/article/category/183015/post/202606250001/,現價205元，上漲空間約25%,台股 2344
記憶體,目標價,2026-06-25,外資(未具名)調升力積電目標價至100元,今周刊,https://www.businesstoday.com.tw/article/category/183015/post/202606250001/,現價85元，上漲空間約17%,台股 6770
記憶體,目標價,2026-06-25,凱基投顧調升旺宏目標價至300元,今周刊,https://www.businesstoday.com.tw/article/category/183015/post/202606250001/,現價172元，上漲空間約74%(最大),台股 2337
CPO/光通訊,新聞,2026-06-26,一則市場傳聞影響，新易盛一度跌超9%！看券商解讀,證券時報網,https://www.stcn.com/article/detail/3956604.html,市場傳聞引發單日重挫，科技股資金大幅撤離,陸股 sz300502
CPO/光通訊,新聞,2026-06-26,滬深300ETF權重股中際旭創大跌近6%！興業證券：短期AI科技板塊調整空間有限,同花順,https://m.10jqka.com.cn/20260626/c677737758.shtml,興業證券(陸資券商)研判屬正常獲利了結修正，非反轉,陸股 sz300308
PCB/CCL,目標價,2026-06-15,本土投顧調升臻鼎-KY目標價至640元,FTNN新聞網,https://www.ftnn.com.tw/news/553638,Q2稅後純益估年增163.9%，1.6T光模組+ABF載板帶旺營運,台股 4958
PCB/CCL,新聞,2026-06-14,中信證券：建議關注國內頭部AI PCB/覆銅板(CCL)廠商、存儲廠商等,鳳凰網財經,https://finance.ifeng.com/c/8rm72Rf47Vb,中信證券(陸資券商)研報，同時提到MLCC、矽晶圓提價,
被動元件,新聞,2026-06-02,MLCC Sector Surges 9% in a Single Day: Goldman Sachs Says It Could Be the Next Memory Chip,BigGo Finance,https://finance.biggo.com/news/jJ1ViJ4BDXrLZJaAUMOK,高盛報告稱MLCC是AI伺服器BOM第三大成本項，比照記憶體超級週期看待(注意：此為6月初消息，早於主要追蹤期間),
被動元件,新聞,2026-06-30,800億MLCC龍頭，「一」字跌停！近20萬手封死,中國基金報,https://www.chnfund.com/article/ARa96ef903-c275-7c38-d7ce-3a22289dcc26,風華高科6/29公告否認「全系列MLCC通過輝達認證」傳言不實，且30個交易日累積漲幅偏離達200%(嚴重異常波動)，隔日跌停，年初至今漲幅一度達340%,陸股 sz000636
半導體設備,新聞,2026-06-30,AI超級週期引爆！日經：五大半導體設備廠2026營收重返雙位數成長、訂單能見度看至2027,Yahoo奇摩股市(轉日經),https://tw.stock.yahoo.com/news/ai%E8%B6%85%E7%B4%9A%E9%80%B1%E6%9C%9F%E5%BC%95%E7%88%86-%E6%97%A5%E7%B6%93-%E4%BA%94%E5%A4%A7%E5%8D%8A%E5%B0%8E%E9%AB%94%E8%A8%AD%E5%82%99%E5%BB%A02026%E7%87%9F%E6%94%B6%E9%87%8D%E8%BF%94%E9%9B%99%E4%BD%8D%E6%95%B8%E6%88%90%E9%95%B7-%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6%E7%9C%8B%E8%87%B32027-063002556.html,訂單能見度看到2027年，結構性題材未見降溫,
半導體設備,新聞,2026-03-16,營收大爆發、訂單看到明年 這檔設備廠大啖AI商機,工商時報,https://www.ctee.com.tw/news/20260316700171-439901,較早的個股案例(供參考),
封測(OSAT/測試),目標價,2026-06-14,日月光喊上6字頭！京元電、力成...封測3雄官股法人目標價、EPS全說了,旺得富理財網,https://wantrich.chinatimes.com/news/20260614900001-420101,日月光目標價600元(2026 EPS 14.2元x42倍)、力成目標價400元(EPS 14.26元x28倍)、京元電目標價330元，台積電CoWoS訂單滿到年底,台股 3711/6239/2449
IC設計,目標價,2026-07-02,"高盛大調聯發科目標價至6,800元，AI ASIC業務迎顯著獲利成長",TechNews科技新報,https://finance.technews.tw/2026/07/02/goldman-sachs-raised-its-target-price-for-mediatek-to-nt6800/,"高盛重申「買進」評等，目標價從5,000元上調至6,800元，主因客戶需求大幅上修，2027年AI ASIC營收預估從123億升至203億美元",台股 2454
IC設計,目標價,2026-06下旬,聯發科ASIC商機再獲看好，外資目標價顯升至1萬元,Yahoo奇摩股市,https://tw.stock.yahoo.com/news/%E8%81%AF%E7%99%BC%E7%A7%91asic%E5%95%86%E6%A9%9F%E5%86%8D%E7%8D%B2%E7%9C%8B%E5%A5%BD-%E5%A4%96%E8%B3%87%E7%9B%AE%E6%A8%99%E5%83%B9%E9%A1%AF%E5%8D%87%E8%87%B31%E8%90%AC%E5%85%83-084700993.html,"外資機構大幅調升聯發科目標價至1萬元(調幅71%)，預期AI ASIC將成繼CoWoS後台灣IC設計最大護城河",台股 2454
晶圓代工,目標價,2026-04-10,"台積電法說前五大外資搶先上調，里昂最高喊3,030元",TechNews科技新報,https://technews.tw/2026/04/10/tsmc-2026-q1-target-price/,"Q1法說會倒數前里昂/大摩等外資集體抬價，里昂喊3,030元居全市場最高，後法說釋出優於預期展望後再引10大外資升目標價",台股 2330
AI伺服器,新聞,2026-06,老AI伺服器族群回神補漲，鴻海領頭緯創外資加持,豐雲學堂(元大),https://www.sinotrade.com.tw/richclub/hotstock/%E8%80%81AI%E4%BC%BA%E6%9C%8D%E5%99%A8%E6%97%8F%E7%BE%A4%E4%BB%8A%E6%97%A5%E5%9B%9E%E7%A5%9E-%E8%A3%9C%E6%BC%B2%E8%A1%8C%E6%83%85%E8%83%BD%E5%90%A6%E6%8E%A5%E6%A3%92-%E9%B4%BB%E6%B5%B7%E9%A0%98%E9%A0%AD-%E7%B7%AF%E5%89%B5%E5%A4%96%E8%B3%87%E5%8A%A0%E6%8C%81-%E7%B1%8C%E7%A2%BC%E8%88%87%E7%87%9F%E6%94%B6%E5%90%8C%E6%AD%A5%E9%A9%97%E8%AD%89-%E8%82%A1%E5%B8%82%E8%A9%B1%E9%A1%8C-69fae4ff028e5400c7fde23a,"ODM三雄相較新AI概念股有補漲空間，外資籌碼轉向回補，記憶體/散熱/PCB同步啟動確認資金結構改變",台股 2317/2382/3231
AI伺服器,新聞,2026-06,鴻海廣達緯創全面甦醒，台股六月迎史詩行情,鉅亨網,https://news.cnyes.com/news/id/6477007,"廣達/緯創/英業達/華碩5月底集體漲停，ODM三雄進入台股兆元市值俱樂部，行情由情緒炒作轉向資金結構重組",台股 2317/2382/3231
機器人/自動化,新聞,2026-07,台積電魏哲家點燃人形機器人熱潮，台股供應鏈完整整理,豐雲學堂(元大),https://www.sinotrade.com.tw/richclub/hotstock/2025%E6%A9%9F%E5%99%A8%E4%BA%BA%E6%A6%82%E5%BF%B5%E8%82%A1%E6%9C%89%E5%93%AA%E4%BA%9B%E8%82%A1%E7%A5%A8-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E9%AD%8F%E5%93%B2%E5%AE%B6%E9%BB%9E%E7%87%83%E4%BA%BA%E5%BD%A2%E6%A9%9F%E5%99%A8%E4%BA%BA%E7%86%B1%E6%BD%AE-%E7%94%A2%E6%A5%AD%E7%99%BC%E5%B1%95-%E5%8F%B0%E8%82%A1%E4%BE%9B%E6%87%89%E9%8F%88%E4%B8%80%E6%AC%A1%E7%9C%8B-%E8%82%A1%E5%B8%82%E8%A9%B1%E9%A1%8C-665823eb7621e831ac675759,"2026實體AI量產元年，Tesla Optimus量產+NVIDIA GR00T N2平台帶動台股精密傳動/感測/工業電腦三大次族群，上銀/新漢/致茂受惠",台股 2049/8234/2360
機器人/自動化,新聞,2026,2026機器人概念股攻略：黃仁勳一句話帶動族群，龍頭含金量整理,TVBS新聞,https://news.tvbs.com.tw/money/3196926,"盤點台股機器人供應鏈含金量，精密傳動(上銀/羅昇)、機器視覺(致茂/所羅門)、工業電腦(新漢)三大次族群評析",台股 2049/8374/2360/8234/2359
功率半導體,新聞,2026-06-23,功率半導體漲聲響！台半強茂德微4大廠看法曝光,旺得富理財網,https://wantrich.chinatimes.com/news/20260623900235-420101,"英飛凌/德州儀器接連漲價，台廠台半/強茂/德微均已跟進漲5~15%，強茂訂單滿到2027年",台股 5349/2481/3675
功率半導體,新聞,2026-06,功率元件漲價循環啟動，台廠德微台半領軍漲潮,豐雲學堂(元大),https://www.sinotrade.com.tw/richclub/hotstock/%E5%8A%9F%E7%8E%87%E5%85%83%E4%BB%B6%E6%BC%B2%E5%83%B9%E5%BE%AA%E7%92%B0%E5%95%9F%E5%8B%95-%E5%8F%B0%E5%BB%A0%E5%BE%B7%E5%BE%AE%E9%A0%98%E8%BB%8D%E6%8E%80%E6%BC%B2%E6%BD%AE-%E9%82%84%E6%9C%89%E5%93%AA%E4%BA%9B%E4%BB%A3%E8%A1%A8%E5%80%8B%E8%82%A1----%E8%82%A1%E5%B8%82%E8%A9%B1%E9%A1%8C-6a17a7d966da6118fd4577b0,"AI資料中心電力需求+安世半導體地緣政治轉單效應，五雄台半/德微/強茂/富鼎/大中同步噴發",台股 5349/3675/2481/8261/6435
功率半導體,新聞,2026-06,"南韓砸7,500億韓元搶攻功率半導體，台廠五雄後市觀察重點",豐雲學堂(元大),https://www.sinotrade.com.tw/richclub/hotstock/%E5%8D%97%E9%9F%93%E7%A0%B8-7-500-%E5%84%84%E9%9F%93%E5%85%83%E5%BC%B7%E6%94%BB%E5%8A%9F%E7%8E%87%E5%8D%8A%E5%B0%8E%E9%AB%94-%E5%8F%B0%E5%BB%A0%E5%8A%9F%E7%8E%87%E5%85%83%E4%BB%B6%E4%BA%94%E9%9B%84-%E5%BC%B7%E8%8C%82-%E5%BE%B7%E5%BE%AE-%E5%8F%B0%E5%8D%8A-%E5%AF%8C%E9%BC%8E-%E5%A4%A7%E4%B8%AD-%E5%BE%8C%E5%B8%82%E8%A7%80%E5%AF%9F%E9%87%8D%E9%BB%9E-%E8%82%A1%E5%B8%82%E8%A9%B1%E9%A1%8C-6a38f8968e58a5d1336145a8,"南韓政府強力扶植本土功率半導體，台廠憑先行量產+成本優勢短期仍具護城河，富鼎籌碼評分88分(五雄最高)",台股 5349/3675/2481/8261/6435
半導體材料,目標價,2026-07-01,"矽晶圓超級循環也來了！環球晶/台勝科/合晶法人首選，目標價直衝1,500元",旺得富理財網,https://wantrich.chinatimes.com/news/20260701900166-420101,"跟進記憶體/MLCC超級循環，凱基喊環球晶目標價1,500元，矽晶圓H2漲價在即",台股 6488/3532/6477
半導體材料,新聞,2026-06-26,矽晶圓三雄合晶台勝科環球晶傳漲聲 6吋先調8吋12吋跟上,工商時報,https://www.ctee.com.tw/news/20260626700235-439901,需求回溫拉貨升溫，6吋先漲而8吋12吋跟進，台勝科8吋產線已維持滿載,台股 6488/3532/6477
半導體材料,新聞,2026-06,環球晶下半年啟動漲價計畫，矽光子與AI需求助攻台勝科合晶,豐雲學堂(元大),https://www.sinotrade.com.tw/richclub/hotstock/%E7%9F%BD%E6%99%B6%E5%9C%93%E4%BE%9B%E9%9C%80%E8%BD%89%E6%8A%98%E9%BB%9E%E5%B7%B2%E7%8F%BE-%E7%92%B0%E7%90%83%E6%99%B6%E4%B8%8B%E5%8D%8A%E5%B9%B4%E5%95%9F%E5%8B%95%E6%BC%B2%E5%83%B9%E8%A8%88%E7%95%AB-%E7%9F%BD%E5%85%89%E5%AD%90%E8%88%87-AI-%E9%9C%80%E6%B1%82%E5%8A%A9%E6%94%BB%E5%8F%B0%E5%8B%9D%E7%A7%91-%E5%90%88%E6%99%B6%E7%AD%89%E5%8F%B0%E7%81%A3%E6%A6%82%E5%BF%B5%E8%82%A1%E7%87%9F%E6%94%B6-%E8%82%A1%E5%B8%82%E8%A9%B1%E9%A1%8C-6a02998979b83500ef6608c0,矽晶圓供需轉折點浮現，環球晶H2漲價計畫確立，台勝科12吋新廠大部分產能已被包光,台股 6488/3532/6477
面板,目標價,2026-06-22,玻璃基板CPO好夯！面板雙虎新戰場 群創友達誰看85元？法人最新目標價一次看,旺得富理財網,https://wantrich.chinatimes.com/news/20260622900254-420101,"玻璃基板+CPO新商機浮現，本土法人看群創85.3元/友達35.2元，已超越傳統面板本業估值",台股 3481/2409
面板,新聞,2026-06,面板股跟你想的不一樣，群創友達瑞軒股東會關注重點,豐雲學堂(元大),https://www.sinotrade.com.tw/richclub/hotstock/%E9%9D%A2%E6%9D%BF%E8%82%A1-%E8%B7%9F%E4%BD%A0%E6%83%B3%E7%9A%84%E4%B8%8D%E4%B8%80%E6%A8%A3-%E6%9C%AC%E5%91%A8%E7%BE%A4%E5%89%B5-%E5%8F%8B%E9%81%94-%E7%91%9E%E8%BB%92%E8%82%A1%E6%9D%B1%E6%9C%83%E9%97%9C%E6%B3%A8%E9%87%8D%E9%BB%9E-%E8%82%A1%E5%B8%82%E8%A9%B1%E9%A1%8C-6a13fb629187f21951e56223,面板雙虎股東會揭示玻璃基板/CPO布局進度，面板報價趨穩，新事業成轉機亮點,台股 3481/2409
